
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.0348, Best Accuracy: (0%), Final Loss: 0.0872, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.615s/0.416s), Par. 76 Time: 3.3
Experiment 2/2, Best Epoch: 12/15, Best Loss: 0.1087, Best Accuracy: (0%), Final Loss: 0.1948, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.402s/0.320s), Par. 16 Time: 2.8
Experiment 0/2, Best Epoch: 14/15, Best Loss: 0.0362, Best Accuracy: (0%), Final Loss: 0.0362, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.409s/0.326s), Par. 76 Time: 2.9
Experiment 1/2, Best Epoch: 8/15, Best Loss: 0.0443, Best Accuracy: (0%), Final Loss: 0.0597, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.408s/0.322s), Par. 46 Time: 2.9
Experiment 2/2, Best Epoch: 8/15, Best Loss: 0.0814, Best Accuracy: (0%), Final Loss: 0.4287, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.394s/0.316s), Par. 16 Time: 2.7
Experiment 0/2, Best Epoch: 11/15, Best Loss: 0.0446, Best Accuracy: (0%), Final Loss: 0.0458, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.406s/0.326s), Par. 76 Time: 2.8
Experiment 1/2, Best Epoch: 11/15, Best Loss: 0.1038, Best Accuracy: (0%), Final Loss: 0.1502, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.438s/0.351s), Par. 46 Time: 3.1
Experiment 2/2, Best Epoch: 8/15, Best Loss: 0.0820, Best Accuracy: (0%), Final Loss: 0.3627, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.422s/0.336s), Par. 16 Time: 2.8
Experiment 0/2, Best Epoch: 13/15, Best Loss: 0.0361, Best Accuracy: (0%), Final Loss: 0.1098, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.409s/0.327s), Par. 76 Time: 2.9
Experiment 1/2, Best Epoch: 9/15, Best Loss: 0.0210, Best Accuracy: (0%), Final Loss: 0.0850, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.405s/0.323s), Par. 46 Time: 2.8
Experiment 2/2, Best Epoch: 14/15, Best Loss: 0.0802, Best Accuracy: (0%), Final Loss: 0.0802, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.412s/0.329s), Par. 16 Time: 2.9
Experiment 0/2, Best Epoch: 10/15, Best Loss: 0.0539, Best Accuracy: (0%), Final Loss: 0.2334, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.422s/0.335s), Par. 76 Time: 3.0
Experiment 1/2, Best Epoch: 14/15, Best Loss: 0.0686, Best Accuracy: (0%), Final Loss: 0.0686, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.409s/0.321s), Par. 46 Time: 2.9
Experiment 2/2, Best Epoch: 9/15, Best Loss: 0.2510, Best Accuracy: (0%), Final Loss: 0.2599, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.405s/0.321s), Par. 16 Time: 2.9
Experiment 0/2, Best Epoch: 12/15, Best Loss: 0.0325, Best Accuracy: (0%), Final Loss: 0.1093, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.401s/0.319s), Par. 76 Time: 2.8
Experiment 1/2, Best Epoch: 10/15, Best Loss: 0.0582, Best Accuracy: (0%), Final Loss: 0.1074, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.408s/0.323s), Par. 46 Time: 2.8
Experiment 2/2, Best Epoch: 10/15, Best Loss: 0.0986, Best Accuracy: (0%), Final Loss: 0.1056, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.397s/0.318s), Par. 16 Time: 2.8
Experiment 0/2, Best Epoch: 12/15, Best Loss: 0.0442, Best Accuracy: (0%), Final Loss: 0.0594, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.415s/0.336s), Par. 76 Time: 2.9
Experiment 1/2, Best Epoch: 9/15, Best Loss: 0.0565, Best Accuracy: (0%), Final Loss: 0.0619, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.393s/0.313s), Par. 46 Time: 2.7
Experiment 2/2, Best Epoch: 10/15, Best Loss: 0.0888, Best Accuracy: (0%), Final Loss: 0.0944, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 2505/2505 (0.394s/0.318s), Par. 16 Time: 2.6
