
Experiment 0/8, Best Epoch: 1/5, Best Loss: 4.0219, Best Accuracy: (0%), Final Loss: 7.4363, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.531s/1.935s), Par. 76 Time: 8.9
Experiment 4/8, Best Epoch: 9/10, Best Loss: 1.9949, Best Accuracy: (0%), Final Loss: 1.9949, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.660s/2.111s), Par. 78 Time: 11.6
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.1544, Best Accuracy: (0%), Final Loss: 0.1544, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (1.824s/1.442s), Par. 76 Time: 9.5
Experiment 6/8, Best Epoch: 3/15, Best Loss: 5.4888, Best Accuracy: (0%), Final Loss: 20.9057, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.332s/4.126s), Par. 76 Time: 20.8
Experiment 7/8, Best Epoch: 14/15, Best Loss: 4.2560, Best Accuracy: (0%), Final Loss: 4.2560, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.455s/4.837s), Par. 78 Time: 25.1
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.2061, Best Accuracy: (0%), Final Loss: 0.2061, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (4.506s/3.246s), Par. 76 Time: 20.4
Experiment 0/8, Best Epoch: 4/5, Best Loss: 1.5713, Best Accuracy: (0%), Final Loss: 1.5713, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.660s/2.049s), Par. 76 Time: 9.6
Experiment 1/8, Best Epoch: 4/5, Best Loss: 3.0913, Best Accuracy: (0%), Final Loss: 3.0913, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.274s/1.682s), Par. 78 Time: 8.7
Experiment 2/8, Best Epoch: 4/5, Best Loss: 0.7920, Best Accuracy: (0%), Final Loss: 0.7920, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.526s/1.065s), Par. 76 Time: 6.6
Experiment 3/8, Best Epoch: 9/10, Best Loss: 3.8714, Best Accuracy: (0%), Final Loss: 3.8714, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (5.549s/4.322s), Par. 76 Time: 20.3
Experiment 4/8, Best Epoch: 1/10, Best Loss: 1.9849, Best Accuracy: (0%), Final Loss: 4.6369, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (4.018s/3.037s), Par. 78 Time: 15.8
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.1835, Best Accuracy: (0%), Final Loss: 0.1835, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.914s/2.139s), Par. 76 Time: 13.2
Experiment 6/8, Best Epoch: 14/15, Best Loss: 5.9278, Best Accuracy: (0%), Final Loss: 5.9278, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (6.927s/5.286s), Par. 76 Time: 26.1
Experiment 7/8, Best Epoch: 14/15, Best Loss: 5.5880, Best Accuracy: (0%), Final Loss: 5.5880, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.824s/4.579s), Par. 78 Time: 23.2
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.0657, Best Accuracy: (0%), Final Loss: 0.0657, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.918s/2.223s), Par. 76 Time: 14.7
Experiment 0/8, Best Epoch: 1/5, Best Loss: 4.6604, Best Accuracy: (0%), Final Loss: 11.4880, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.808s/1.381s), Par. 76 Time: 7.3
Experiment 1/8, Best Epoch: 4/5, Best Loss: 9.0535, Best Accuracy: (0%), Final Loss: 9.0535, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.285s/1.017s), Par. 78 Time: 5.6
Experiment 2/8, Best Epoch: 3/5, Best Loss: 0.2415, Best Accuracy: (0%), Final Loss: 0.2519, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.929s/0.709s), Par. 76 Time: 4.7
Experiment 3/8, Best Epoch: 1/10, Best Loss: 2.5035, Best Accuracy: (0%), Final Loss: 5.3183, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.459s/2.699s), Par. 76 Time: 13.9
Experiment 4/8, Best Epoch: 3/10, Best Loss: 0.7894, Best Accuracy: (0%), Final Loss: 1.0164, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.670s/2.120s), Par. 78 Time: 12.0
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.0832, Best Accuracy: (0%), Final Loss: 0.0832, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (1.816s/1.462s), Par. 76 Time: 9.5
Experiment 6/8, Best Epoch: 2/15, Best Loss: 1.3574, Best Accuracy: (0%), Final Loss: 1.8313, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.229s/4.023s), Par. 76 Time: 20.5
Experiment 7/8, Best Epoch: 14/15, Best Loss: 1.5358, Best Accuracy: (0%), Final Loss: 1.5358, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (4.260s/3.225s), Par. 78 Time: 18.4
Experiment 8/8, Best Epoch: 10/15, Best Loss: 0.0667, Best Accuracy: (0%), Final Loss: 0.0695, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.655s/2.116s), Par. 76 Time: 13.8
Experiment 0/8, Best Epoch: 1/5, Best Loss: 7.3079, Best Accuracy: (0%), Final Loss: 21.3106, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.674s/1.314s), Par. 76 Time: 6.6
Experiment 1/8, Best Epoch: 4/5, Best Loss: 7.4482, Best Accuracy: (0%), Final Loss: 7.4482, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.366s/1.087s), Par. 78 Time: 6.0
Experiment 2/8, Best Epoch: 3/5, Best Loss: 0.3852, Best Accuracy: (0%), Final Loss: 0.5524, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.886s/0.711s), Par. 76 Time: 4.6
Experiment 3/8, Best Epoch: 9/10, Best Loss: 3.7814, Best Accuracy: (0%), Final Loss: 3.7814, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.604s/2.826s), Par. 76 Time: 14.1
Experiment 4/8, Best Epoch: 9/10, Best Loss: 4.6168, Best Accuracy: (0%), Final Loss: 4.6168, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.819s/2.193s), Par. 78 Time: 12.5
Experiment 5/8, Best Epoch: 8/10, Best Loss: 0.6714, Best Accuracy: (0%), Final Loss: 0.6814, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (1.875s/1.498s), Par. 76 Time: 10.1
Experiment 6/8, Best Epoch: 14/15, Best Loss: 2.9836, Best Accuracy: (0%), Final Loss: 2.9836, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.341s/4.164s), Par. 76 Time: 21.3
Experiment 7/8, Best Epoch: 14/15, Best Loss: 3.8698, Best Accuracy: (0%), Final Loss: 3.8698, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (4.072s/3.184s), Par. 78 Time: 18.0
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.2869, Best Accuracy: (0%), Final Loss: 0.2869, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.771s/2.183s), Par. 76 Time: 14.7
Experiment 0/8, Best Epoch: 4/5, Best Loss: 0.3998, Best Accuracy: (0%), Final Loss: 0.3998, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.736s/1.378s), Par. 76 Time: 6.9
Experiment 1/8, Best Epoch: 4/5, Best Loss: 4.3349, Best Accuracy: (0%), Final Loss: 4.3349, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.379s/1.062s), Par. 78 Time: 5.9
Experiment 2/8, Best Epoch: 3/5, Best Loss: 0.4988, Best Accuracy: (0%), Final Loss: 0.5078, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.876s/0.701s), Par. 76 Time: 4.5
Experiment 3/8, Best Epoch: 9/10, Best Loss: 13.1434, Best Accuracy: (0%), Final Loss: 13.1434, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.581s/2.736s), Par. 76 Time: 14.3
Experiment 4/8, Best Epoch: 9/10, Best Loss: 1.7448, Best Accuracy: (0%), Final Loss: 1.7448, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.986s/2.334s), Par. 78 Time: 12.9
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.1444, Best Accuracy: (0%), Final Loss: 0.1444, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.129s/1.637s), Par. 76 Time: 11.1
Experiment 6/8, Best Epoch: 14/15, Best Loss: 2.7947, Best Accuracy: (0%), Final Loss: 2.7947, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.398s/4.221s), Par. 76 Time: 21.5
Experiment 7/8, Best Epoch: 14/15, Best Loss: 2.4815, Best Accuracy: (0%), Final Loss: 2.4815, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (3.942s/3.104s), Par. 78 Time: 17.6
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.1156, Best Accuracy: (0%), Final Loss: 0.1156, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.628s/2.112s), Par. 76 Time: 13.7
Experiment 0/8, Best Epoch: 4/5, Best Loss: 3.9812, Best Accuracy: (0%), Final Loss: 3.9812, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (2.012s/1.604s), Par. 76 Time: 7.8
Experiment 1/8, Best Epoch: 4/5, Best Loss: 3.8492, Best Accuracy: (0%), Final Loss: 3.8492, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.334s/1.064s), Par. 78 Time: 5.9
Experiment 2/8, Best Epoch: 4/5, Best Loss: 1.1113, Best Accuracy: (0%), Final Loss: 1.1113, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.916s/0.732s), Par. 76 Time: 5.2
Experiment 3/8, Best Epoch: 9/10, Best Loss: 6.5213, Best Accuracy: (0%), Final Loss: 6.5213, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (4.252s/3.382s), Par. 76 Time: 16.5
Experiment 4/8, Best Epoch: 8/10, Best Loss: 4.9875, Best Accuracy: (0%), Final Loss: 5.4739, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.689s/2.126s), Par. 78 Time: 11.7
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.5647, Best Accuracy: (0%), Final Loss: 0.5647, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (1.873s/1.439s), Par. 76 Time: 9.9
Experiment 6/8, Best Epoch: 14/15, Best Loss: 2.5896, Best Accuracy: (0%), Final Loss: 2.5896, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.402s/4.192s), Par. 76 Time: 21.7
Experiment 7/8, Best Epoch: 14/15, Best Loss: 2.4961, Best Accuracy: (0%), Final Loss: 2.4961, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (4.038s/3.180s), Par. 78 Time: 17.6
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.2737, Best Accuracy: (0%), Final Loss: 0.2737, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.574s/2.070s), Par. 76 Time: 13.5
Experiment 0/8, Best Epoch: 4/5, Best Loss: 11.8524, Best Accuracy: (0%), Final Loss: 11.8524, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.712s/1.289s), Par. 76 Time: 6.6
Experiment 1/8, Best Epoch: 4/5, Best Loss: 2.2882, Best Accuracy: (0%), Final Loss: 2.2882, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (1.332s/1.060s), Par. 78 Time: 5.9
Experiment 2/8, Best Epoch: 4/5, Best Loss: 0.4266, Best Accuracy: (0%), Final Loss: 0.4266, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 5000/5000 (0.865s/0.696s), Par. 76 Time: 4.5
Experiment 3/8, Best Epoch: 1/10, Best Loss: 26.4647, Best Accuracy: (0%), Final Loss: 48.6083, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (3.522s/2.673s), Par. 76 Time: 14.1
Experiment 4/8, Best Epoch: 1/10, Best Loss: 3.1665, Best Accuracy: (0%), Final Loss: 4.9209, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (2.639s/2.063s), Par. 78 Time: 11.4
Experiment 5/8, Best Epoch: 9/10, Best Loss: 0.0774, Best Accuracy: (0%), Final Loss: 0.0774, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 10000/10000 (1.679s/1.334s), Par. 76 Time: 8.6
Experiment 6/8, Best Epoch: 2/15, Best Loss: 12.9769, Best Accuracy: (0%), Final Loss: 14.3852, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (5.110s/3.989s), Par. 76 Time: 20.6
Experiment 7/8, Best Epoch: 14/15, Best Loss: 2.8011, Best Accuracy: (0%), Final Loss: 2.8011, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (4.101s/3.227s), Par. 78 Time: 17.8
Experiment 8/8, Best Epoch: 14/15, Best Loss: 0.0968, Best Accuracy: (0%), Final Loss: 0.0968, Final Accuracy: (0%), NN-Evaluations (forw./backw.): 15000/15000 (2.781s/2.143s), Par. 76 Time: 14.2
